title,posted_at,expires_at,created_at,salary_min,salary_max,industry_id,description,company_name,location,job_type,application_url,is_active,salary_period,is_bulk_upload,remote_type,approval_status,experience_level,contact_email,company_id,category,qualifications,responsibilities,is_featured,verified,applicant_count,outbound_clicks,applications_count,keywords,external_clicks
Information Technology Senior Telecommunications Technician (Radio Communication Services Division),2026-05-18T22:46:46.856962Z,2026-06-12T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,67130.37,103067.91,33,"Job ID: 101009 - Associates degree. Five years of experience in the repair, troubleshooting, testing, installation and maintenance of voice, data, and wireless communication equipment is required. A high school diploma or GED along with additional experience in the repair, troubleshooting, testing, installation and maintenance of voice, data, and wireless communication equipment may substitute for the required education on a year-for-year basis. Must possess a valid
 driver license.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Director, Department of Cultural Affairs",2026-05-18T22:46:46.856962Z,2026-06-05T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,155186.16,439189.27,25,"Job ID: 101249 - Bachelor’s degree. Eight years of progressively responsible administrative and/or managerial experience, including supervisory experience and experience in a governmental arts agency and/or a nonprofit cultural organization is required.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
Accountant 3 (Housing and Community Development),2026-05-18T22:46:46.856962Z,2026-05-19T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,70552.84,123798.92,1,"Job ID: 101113 - Bachelor's degree in Accounting and two years of accounting experience; OR Bachelor's degree to include 9 semester credits in Accounting and two years of accounting experience; OR four years of additional accounting work experience and two years of college
 coursework are required.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
Housing and Community Development Planning Coordinator 2,2026-05-18T22:46:46.856962Z,2026-05-29T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,74794.53,130594.28,49,"Job ID: 101198 - Bachelor s degree. Four years of administrative experience in housing program planning and policy development to include experience developing and executing HUD planning frameworks; researching, interpreting, and implementing federal, state, and local housing policy. Additional administrative experience in housing program planning and policy development may substitute for the required education on a year-for-year basis.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
IT Senior Systems Administrator (Internal Compliance),2026-05-18T22:46:46.856962Z,2026-06-01T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,96561.5,161053.46,33,"Job ID: 101209 - Bachelor's degree. Six years of experience in information technology systems administration including creating, analyzing, and managing information technology systems are required. Additional related work experience in information technology systems administration including creating, analyzing, and managing information technology systems may substitute for the required college education on a year-for-year basis.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Manager, Library Marketing & Development Services",2026-05-18T22:46:46.856962Z,2026-05-31T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,81422.15,140115.77,43,"Job ID: 100602 - Bachelors degree. A minimum of two years of progressively responsible experience in public information, journalism, marketing,
 or public relations is required.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Range Attendant (Parks, Recreation & Open Spaces)",2026-05-18T22:46:46.856962Z,2026-05-19T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,38804.22,58141.18,61,"Job ID: 100274 - High school diploma or GED. One year of experience in the care and use of various types of firearms is required. Must possess a Driver license.&; Must be able to work days, nights, holidays, and weekends
 on a varied work schedule.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Interpretive Programs Leader (Parks, Recreation and Open Spaces)",2026-05-18T22:46:46.856962Z,2026-05-22T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,48448.77,85398.3,21,"Job ID: 100254 - High school diploma or GED. Two years of customer service or tourism related experience is required. Must possess excellent communication skills. Must be able to work days, nights, weekends and holidays on a varying schedule. Must possess a valid driver
 license.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Special Project Administrator 1 (Parks, Recreation & Open Spaces Department)",2026-05-18T22:46:46.856962Z,2026-05-25T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,67819.07,119003.17,2,Job ID: 101022 - Bachelor's degree. Three years of administrative experience are required. Additional administrative experience may substitute for the required college education on a year for year basis.,Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Maintenance Repairer (Parks, Recreation & Open Spaces Department)",2026-05-18T22:46:46.856962Z,2026-05-25T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,42413.05,63887.85,38,Job ID: 100367 - Eighth grade. One year of experience performing semi-skilled maintenance and repair tasks or assisting with maintenance and repairs in any of a variety of the skilled trades is required. Must possess a valid Driver's license. Must be able to lift 50 lbs.,Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
