Job ID,title,expires_at,salary_min,salary_max,description,industry
100991,"Assistant Division Director, Recruitment, Testing, and Career Development (People & Internal Operations)",2026-05-28T00:00:00.000000Z,119559.91,198513.61,"Job ID: 100991 - Bachelor's degree. A minimum of five years of professional human resources experience to include talent acquisition, employee development, strategic initiatives and/or project management, to include supervisory experience is required.",Recruiting
100993,Human Rights & Fair Employment Specialist (People & Internal Operations),2026-05-28T00:00:00.000000Z,81422.15,140115.77,"Job ID: 100993 - Bachelor's degree. Three years of experience in civil rights, equal opportunity, diversity management, human resources, or related field, to include conducting fact-finding interviews; or interpreting and applying civil rights laws and regulations; or performing investigative work; or mediating disputes and negotiating agreements is required. Additional experience in civil rights, equal opportunity, diversity management, human resources, or related field, to include conducting fact-finding interviews; or interpreting and applying civil rights laws and regulations; or performing investigative work; or mediating disputes and negotiating agreements may substitute for the college education on a year for year basis.",Human Resources
100989,Benefits Supervisor (People & Internal Operations),2026-05-29T00:00:00.000000Z,97230.77,157186.88,Job ID: 100989 - Bachelor's degree. Three years of experience in working in or administering a variety of employee benefit programs are required. Additional related experience in working or administering a variety of employee benefit programs may substitute for the required college education on a year for year basis.,Human Resources
100890,Engineer 2 (Regulatory & Economic Resources),2026-05-19T00:00:00.000000Z,77808.48,135857.18,"Job ID: 100890 - Bachelor's degree in Engineering. Two years of engineering experience are required. A State of Florida Professional Engineer license; or Bachelor's degree in Engineering Technology awarded or having been enrolled prior to July 1, 1979 and proof of having passed the fundamentals test for the State of Florida Professional Engineer license may substitute for the required education.",Engineering
100888,Engineer 3 (Regulatory & Economic Resources),2026-05-19T00:00:00.000000Z,89631.29,156062.25,"Job ID: 100888 - Bachelor's degree in Engineering and five years of engineering experience are required. A State of Florida Professional Engineer license or Bachelor's degree in Engineering Technology awarded or having been enrolled prior to July 1, 1979 and proof of having passed the fundamentals test for the State of Florida Professional Engineer license may substitute for the required education.",Engineering
100872,Zoning Analyst 2 (Regulatory & Economic Resources),2026-05-19T00:00:00.000000Z,78230.51,136709.1,"Job ID: 100872 - Bachelor's degree in Public Administration, Urban Planning, Architecture or related field. Two years of experience in zoning-land use administration are required. Additional work experience in zoning-land use administration can substitute education requirement on a year for year basis. Must be able to attend evening
 meetings.",Public Administration
100470,Building Plans Processor (Regulatory & Economic Resource),2026-05-19T00:00:00.000000Z,84703.65,145762.65,"Job ID: 100470 - Must possess a current State of Florida Professional Engineer license, a State of Florida Registered Architect license, or a General Contractor's license issued by the Florida Construction Industry Licensing Board or Certificate of Competency or Certificate of Eligibility issued by the Miami-Dade County Construction Trades Qualifying Board. Five years of field experience under the State of Florida Professional Engineer license, State of Florida Registered Architect license, or General Contractor's license to include two years in a High Velocity Hurricane Zone (HVHZ). Completion of an eight-hour HVHZ training course approved by the Board of Rules and Appeals may substitute for the required HVHZ experience.",Administrative Support
100403,Regulatory & Economic Resources Contractor License Representative,2026-05-19T00:00:00.000000Z,37820.59,62745.25,Job ID: 100403 - High school diploma or GED. One year of clerical or public contact experience is required. Completion of college coursework may substitute for the required work experience on a year-for-year basis.,Public Administration
100390,Elevator Inspector (Regulatory & Economic Resources),2026-05-20T00:00:00.000000Z,92138.94,150078.92,"Job ID: 100390 - Must possess a Qualified Elevator Inspector credential issued by an Accredited Certifying Organization as specified in the ASME QEI-1 standard. Must be eligible to register as a Certified Elevator Inspector with the Florida Department of Business and Professional Regulation as specified in Chapter 399, Florida Statutes within 45 calendar days after date of hire. Must be able to climb ladders and stairs. Must possess a Driver license. All credentials and licenses must be in good standing with the Certifying Organization with no pending complaints.",Engineering
100904,Biologist 2 (Regulatory & Economic Resources),2026-05-20T00:00:00.000000Z,61792.35,109120.39,"Job ID: 100904 - Bachelor s degree in Biology or related natural or environmental science field. One year of professional experience in environmental monitoring or natural resource regulation and management is required. Must possess a Driver license. Must possess a SCUBA
 diving certification.",Research
